! FILETYPE CSV
! VERSION 1.0,1
! TIMESTAMP Thursday, 19 December 2024 09:11:03
! TIMEZONE (GMT-03:00) Brasilia
! NAME Keysight Technologies
! MODEL N9912A
! SERIAL MY51464286
! FIRMWARE_VERSION A.08.19
! CORRECTION 
! Application SA
! Trace TIMESTAMP: 0001-01-01 00:00:00Z
! CHECKSUM 1173129020
! DATA Freq,SA Clear-Write,SA Max Hold,SA Min Hold,SA Average
! FREQ UNIT Hz
! DATA UNIT dBm
BEGIN
50000000,-73.4627292629518,-71.5863562357654,-74.4516788388973,-73.0559389260355
53875000,-74.1281418022272,-70.7355097365282,-74.1281418022272,-72.7517449708432
57750000,-72.4274636002503,-71.3185639526699,-75.455032584573,-72.896068766371
61625000,-72.3656803709823,-71.7927743349891,-75.4959320402421,-73.3689411356025
65500000,-73.4430016498099,-71.6782052973773,-75.2741164232019,-73.4935704516024
69375000,-72.7841144127188,-71.3076967634519,-74.8624910330133,-72.9449480516273
73250000,-72.3946462328113,-71.5924645745049,-75.0738645519586,-72.920166808021
77125000,-71.665854175767,-71.3783925592535,-74.8118852612654,-72.783750963029
81000000,-72.6843696397039,-72.1318379557708,-75.4450784435492,-73.2770273043907
84875000,-72.9048862834232,-70.8235220712276,-73.9513872549175,-72.7082026610126
88750000,-73.7201450678853,-70.7295959485441,-74.1293324777485,-72.3981574419696
92625000,-71.372351047318,-71.2521446446955,-76.4561140007992,-72.8732491684709
96500000,-72.5108189174019,-71.1275548532917,-73.912233235143,-72.5206420027495
100375000,-72.8277985607214,-70.4085147828752,-75.6973474108908,-72.8135579557125
104250000,-71.970196248973,-71.5301613660001,-74.3283241645537,-72.9118717126983
108125000,-72.274086868192,-71.2257147508117,-76.0219746923971,-72.908343934651
112000000,-71.8548186838309,-70.885101008065,-73.6933068478656,-71.9591559331301
115875000,-74.0828065378533,-71.1811387251069,-74.9677730176636,-72.5994186016979
119750000,-72.6659176108963,-70.1693016701262,-74.0024493374799,-72.482507159929
123625000,-74.1936253236112,-71.1921632563096,-74.617531214598,-72.94001080692
127500000,-71.2006000228419,-70.1812314828695,-75.9583298775656,-72.4613994179761
131375000,-72.6079423268696,-70.6561893499342,-74.2549009125959,-72.3796548081501
135250000,-72.1033541675615,-70.2522944666531,-73.5300908711818,-72.4550807684466
139125000,-74.3874326308888,-71.1890504454557,-74.3874326308888,-72.4364915216298
143000000,-73.297485729845,-70.3071622344318,-74.4053916979346,-72.4087092237459
146875000,-72.8996713365186,-69.833566968152,-73.7092842906622,-72.2423068235975
150750000,-70.7119384142627,-70.6310534659932,-73.9724732797107,-72.3914932099511
154625000,-71.5791487266649,-69.9856303203514,-73.9378101053241,-72.2566908400958
158500000,-72.9027312390475,-69.0023302969733,-73.9456931563889,-72.1346540724421
162375000,-74.533816245902,-70.9944498571032,-74.533816245902,-72.3327843280607
166250000,-70.3594406817566,-69.9059753645136,-73.3750437715692,-71.6791516818464
170125000,-72.6946654824486,-69.0617356785632,-73.3064183207507,-71.8222343742292
174000000,-71.9437938810072,-70.6920107903929,-74.3247705690025,-72.1571986035536
177875000,-73.1319686875523,-69.7118555355263,-73.1319686875523,-71.4976075067007
181750000,-73.4305770123471,-70.0372641806339,-74.4045784619954,-72.1654106166732
185625000,-71.620259867532,-70.7426748756159,-75.3085883180449,-72.8355967097876
189500000,-73.1164991215865,-71.4168060639051,-75.735101317445,-72.6146652614598
193375000,-72.1462288200328,-70.3612035327222,-73.7632031915214,-72.1291526839963
197250000,-72.9948336360116,-70.8160567618444,-74.3123488519399,-72.3778203377175
201125000,-73.9999804707539,-69.8067995452032,-74.1444943080772,-72.5769919215352
205000000,-72.6532958298923,-70.2522293031761,-74.2015181661898,-72.4616795891255
208875000,-71.8440958804575,-70.1605512432159,-73.309373166585,-71.6952097621877
212750000,-72.5417316374465,-69.8271097967767,-73.4989319767193,-71.6256599785712
216625000,-73.7221534844643,-70.9386227550791,-73.7221534844643,-72.1292905044395
220500000,-71.3802969649522,-70.2917116788489,-76.3895979512494,-71.9156385376809
224375000,-71.4627054594542,-70.3019805576909,-73.7409493770683,-71.9953615651761
228250000,-72.1616293106883,-69.4151462357202,-74.5981584786782,-72.2159898154935
232125000,-70.8902964576484,-70.8902964576484,-73.4202295775785,-72.2621341686048
236000000,-73.459144173149,-69.837683671995,-74.5489557916975,-71.9753364928937
239875000,-73.3391947291942,-70.0891390126566,-73.5626584179786,-72.0820796562694
243750000,-71.3370678475068,-70.8908464664389,-74.2913069321593,-72.4664663538504
247625000,-74.1215754406649,-70.3687918281373,-74.7197326749256,-72.3586429940192
251500000,-72.4547404757659,-70.1428717317085,-73.8508573440364,-72.2377972695401
255375000,-71.4343434688691,-70.0452563493179,-74.0860253465768,-72.196954445237
259250000,-73.5469461018452,-70.7970462629495,-74.4731760057251,-72.3298785872594
263125000,-73.6072830611885,-70.5795269964068,-73.7973179811378,-72.4872810808237
267000000,-70.0309369286537,-70.0309369286537,-73.4536281409889,-71.6949133303083
270875000,-71.7076774328843,-70.6677102275545,-74.3646269000929,-72.0561728481418
274750000,-72.1840959848529,-71.1700214385964,-74.4731694925593,-72.160646658799
278625000,-71.0725576854779,-70.9294195211758,-74.4022386563351,-72.5509657645704
282500000,-72.8984160844748,-70.3191247965036,-73.9902524560228,-71.9736240317413
286375000,-71.7214600627416,-69.6185817059958,-72.8405008245069,-71.257399797748
290250000,-71.1997772232833,-70.2029113105836,-73.8044743930378,-72.2054307426932
294125000,-72.8598162403628,-70.1198699795373,-73.2248712902289,-71.9994672507517
